iter	MultiClass
0	0.9268659509
1	0.7990994453
2	0.6971532236
3	0.613130472
4	0.5415449492
5	0.4817226559
6	0.4301109378
7	0.3860527429
8	0.3464370998
9	0.3126197445
10	0.283323033
11	0.2572965419
12	0.2356068052
13	0.2152105042
14	0.1974085918
15	0.1815782538
16	0.1681500426
17	0.1546860127
18	0.1429286195
19	0.1322645435
20	0.1225205703
21	0.1134897958
22	0.1057776035
23	0.09861059898
24	0.09185379506
25	0.08557263701
26	0.0795369668
27	0.07469076354
28	0.07046777185
29	0.06647962951
30	0.06281653031
31	0.05925661698
32	0.05601532297
33	0.05352348138
34	0.05088988675
35	0.04886466203
36	0.04729311652
37	0.04514423822
38	0.04344635964
39	0.04171770488
40	0.04036295924
41	0.03883342223
42	0.03749909709
43	0.03683937401
44	0.03555056995
45	0.03427199799
46	0.03330643906
47	0.03225758901
48	0.03145717329
49	0.03059800276
50	0.02967081062
51	0.02903816407
52	0.02843712192
53	0.02802755852
54	0.0276450714
55	0.02718167398
56	0.02673167644
57	0.02619695327
58	0.0258796136
59	0.02542006921
60	0.02496501281
61	0.02461288834
62	0.02445859254
63	0.02396622438
64	0.02363649372
65	0.0231722089
66	0.02284424881
67	0.02262090235
68	0.02235538417
69	0.0218921244
70	0.02143350942
71	0.02104524987
72	0.02079575793
73	0.02059765607
74	0.02042212324
75	0.0202485322
76	0.01989889705
77	0.01978088947
78	0.0195886111
79	0.01945988976
80	0.01924877014
81	0.01906923156
82	0.01889364441
83	0.01862950965
84	0.0184777473
85	0.01821961414
86	0.01813151386
87	0.01798853466
88	0.01766116791
89	0.01745714356
90	0.01731785752
91	0.01721405961
92	0.01696522051
93	0.01684682278
94	0.01678236849
95	0.01659896742
96	0.01640631498
97	0.0162716582
98	0.01610873946
99	0.01590718429
100	0.01573155062
101	0.01559209129
102	0.01545870302
103	0.01527506062
104	0.0151717877
105	0.01498266628
106	0.01480727413
107	0.01473426795
108	0.01466411838
109	0.01460434518
110	0.01456748073
111	0.01447049056
112	0.01428949108
113	0.01423247874
114	0.01413819055
115	0.01408042272
116	0.01399986765
117	0.01395080073
118	0.01391634313
119	0.01374911468
120	0.01367259135
121	0.01354652307
122	0.01351637805
123	0.01340965139
124	0.01330813895
125	0.01317796901
126	0.01306252975
127	0.01297216462
128	0.01288847427
129	0.01283875149
130	0.01280477553
131	0.012745124
132	0.01268775906
133	0.01264689008
134	0.01251849295
135	0.01242433322
136	0.01236167624
137	0.01228829594
138	0.01224169991
139	0.01221467114
140	0.01214942949
141	0.01205943421
142	0.01200923225
143	0.01192454036
144	0.01183004913
145	0.01177255617
146	0.01173342845
147	0.0116724784
148	0.01153060578
149	0.01146174339
150	0.01139075012
151	0.01124564221
152	0.01121673643
153	0.01115334874
154	0.01107479859
155	0.01106298086
156	0.01099374998
157	0.01089120343
158	0.01083182484
159	0.01080432086
160	0.01074918231
161	0.01069650638
162	0.01065382899
163	0.01057798375
164	0.01055298793
165	0.01049648148
166	0.01044451669
167	0.01035703696
168	0.01026610537
169	0.01025291851
170	0.01023142333
171	0.01014094274
172	0.01008346933
173	0.01006899129
174	0.01000578448
175	0.009914782902
176	0.009847780521
177	0.009815675868
178	0.009736191285
179	0.0096605807
180	0.009609084924
181	0.009586458984
182	0.009556249549
183	0.009454241862
184	0.009413242821
185	0.009363673176
186	0.009295202099
187	0.009247497699
188	0.009227437637
189	0.009155176858
190	0.009101130957
191	0.009057431863
192	0.009011269376
193	0.008950219526
194	0.008911336397
195	0.008837774166
196	0.008797042234
197	0.008749235922
198	0.008679412998
199	0.008644098587
200	0.00860190792
201	0.008530283749
202	0.008483136072
203	0.008433874324
204	0.008382281284
205	0.008356052276
206	0.008327042008
207	0.008284960659
208	0.00821966082
209	0.008161254156
210	0.00813256313
211	0.008052434891
212	0.007993957566
213	0.007982740367
214	0.007950162169
215	0.007878699132
216	0.007823037043
217	0.007791430761
218	0.007781722464
219	0.007710394262
220	0.007689550319
221	0.007642738616
222	0.007625510639
223	0.007569489561
224	0.007501910585
225	0.007449231668
226	0.007431449123
227	0.007406436578
228	0.007391053051
229	0.007347486111
230	0.007329104487
231	0.00730577166
232	0.007248461853
233	0.007234351966
234	0.007191398953
235	0.007147188589
236	0.007130568165
237	0.007116713151
238	0.007090265617
239	0.007076176935
240	0.007049096981
241	0.00700915788
242	0.006981284032
243	0.006967466541
244	0.006885681306
245	0.006815086947
246	0.00679840405
247	0.006772035132
248	0.006752840589
249	0.006723851178
250	0.00666743972
251	0.006625427055
252	0.006603538215
253	0.006590877078
254	0.006551700162
255	0.006533420615
256	0.006489568179
257	0.00646011521
258	0.006420793287
259	0.006401341991
260	0.006395490058
261	0.006361446753
262	0.00633859926
263	0.006305351838
264	0.006276729703
265	0.00625442287
266	0.006224190218
267	0.006193295683
268	0.006167340292
269	0.006146537972
270	0.006122322583
271	0.00609482435
272	0.00604848144
273	0.006028436274
274	0.00602036235
275	0.006003820272
276	0.005986596514
277	0.005945311407
278	0.005911001393
279	0.0058725162
280	0.005851883029
281	0.005823539598
282	0.005802426733
283	0.005761492151
284	0.005709762025
285	0.005672763264
286	0.005651757546
287	0.005642085587
288	0.005633489709
289	0.005618818992
290	0.00560655173
291	0.005592985739
292	0.005576504873
293	0.0055441648
294	0.005506750281
295	0.005486721363
296	0.005458537324
297	0.005427446802
298	0.005414365555
299	0.005394597585
300	0.005358481392
301	0.005323202861
302	0.005305888167
303	0.005297473044
304	0.005279696321
305	0.005244104429
306	0.005204306577
307	0.005186059296
308	0.005152300834
309	0.005130975557
310	0.005103236984
311	0.005094144899
312	0.005088827174
313	0.005051358858
314	0.005008520089
315	0.005000497292
316	0.004994107924
317	0.004965966001
318	0.004957498225
319	0.004947224051
320	0.004927824583
321	0.004861848253
322	0.004855664487
323	0.004813498115
324	0.004798196385
325	0.004782890676
326	0.004765933379
327	0.004758805025
328	0.004742237798
329	0.004707473734
330	0.004697445173
331	0.004684909045
332	0.004664265788
333	0.004649582042
334	0.004628710676
335	0.004615052403
336	0.004596752839
337	0.00457747016
338	0.004558064154
339	0.004527029732
340	0.004501056859
341	0.004491197512
342	0.004473038586
343	0.004458219259
344	0.004450022697
345	0.004436351078
346	0.004433868998
347	0.004428507146
348	0.004418511104
349	0.004381679116
350	0.004359425479
351	0.004350812304
352	0.004347423155
353	0.004324194793
354	0.004298198104
355	0.004279693821
356	0.004265136717
357	0.004251835991
358	0.004227388185
359	0.004199057541
360	0.004187865226
361	0.004163756408
362	0.004139472501
363	0.00413174807
364	0.004119807339
365	0.004114292844
366	0.004091086925
367	0.004071575853
368	0.004063551369
369	0.004044800923
370	0.004037099228
371	0.004032235554
372	0.004005471726
373	0.003980304002
374	0.003964633742
375	0.003957828256
376	0.003939427274
377	0.003933766602
378	0.003932591143
379	0.003918552754
380	0.003903984409
381	0.003881547315
382	0.003869072579
383	0.003860965703
384	0.003842617621
385	0.003837135426
386	0.003819561558
387	0.003814733373
388	0.003808408539
389	0.003800652537
390	0.003785953387
391	0.003764918863
392	0.003750562804
393	0.003736725119
394	0.003730158409
395	0.003720743599
396	0.003696687648
397	0.003676685848
398	0.003663825854
399	0.003655986787
400	0.003648724896
401	0.003634387729
402	0.00362204038
403	0.003606221574
404	0.003599324226
405	0.003589880545
406	0.003567855486
407	0.003561552531
408	0.003559441365
409	0.003547834111
410	0.003532661115
411	0.003526781096
412	0.003514823243
413	0.003493807413
414	0.003485985452
415	0.003472306743
416	0.00345482406
417	0.003443326148
418	0.003428571337
419	0.003415481483
420	0.003410834265
421	0.003406514511
422	0.003396394594
423	0.003384266457
424	0.003368698081
425	0.003347023552
426	0.003333643361
427	0.003324945653
428	0.003310445144
429	0.003293589953
430	0.003274711994
431	0.003261981191
432	0.003253940289
433	0.003247379945
434	0.00323572293
435	0.00322170673
436	0.003208237087
437	0.003196138705
438	0.003188762125
439	0.003185800196
440	0.003178697308
441	0.00317027989
442	0.00315511254
443	0.003149636578
444	0.003124191892
445	0.003114367092
446	0.003100334122
447	0.003086448041
448	0.003064731532
449	0.003048398401
450	0.003042385757
451	0.003037125927
452	0.003031152025
453	0.003019231797
454	0.003000936915
455	0.002990663383
456	0.002985847677
457	0.002983223855
458	0.002967933023
459	0.002963419125
460	0.002952750506
461	0.002946626044
462	0.002940464745
463	0.002936779042
464	0.002927751234
465	0.002924391937
466	0.002917607197
467	0.002913542352
468	0.002900571579
469	0.002884318453
470	0.002870335046
471	0.002862420656
472	0.002857622811
473	0.002848323243
474	0.0028406397
475	0.002837529487
476	0.002829591067
477	0.002822080029
478	0.002810314993
479	0.002807239035
480	0.002796787186
481	0.002791667255
482	0.002781141803
483	0.00277192681
484	0.002767659633
485	0.002761243909
486	0.002759002956
487	0.002744639272
488	0.002733893076
489	0.002727587172
490	0.002719055209
491	0.002707833699
492	0.002703614352
493	0.002698658801
494	0.002697278187
495	0.002682474187
496	0.002676600297
497	0.002666829079
498	0.002665089921
499	0.002654420343
500	0.002653072803
501	0.002644611607
502	0.002638838487
503	0.002633178268
504	0.002629444326
505	0.00262386461
506	0.002613063398
507	0.002611463708
508	0.002605698387
509	0.002601865227
510	0.002594653008
511	0.002582805854
512	0.002577971335
513	0.002574825226
514	0.002566300992
515	0.002562664049
516	0.002548460846
517	0.002540092609
518	0.002532979002
519	0.002529025085
520	0.002519253603
521	0.002514575962
522	0.002502704622
523	0.002491974044
524	0.002479569125
525	0.002475876005
526	0.002471308527
527	0.002460506024
528	0.002457603101
529	0.002453556148
530	0.002438110582
531	0.002436804989
532	0.002433002031
533	0.002430134188
534	0.002425530065
535	0.002418520757
536	0.002410328624
537	0.002403895881
538	0.002393079895
539	0.002387298941
540	0.002382574289
541	0.00237559585
542	0.002366003859
543	0.002358845108
544	0.002355306082
545	0.002347637817
546	0.00233485627
547	0.002330180295
548	0.002324561358
549	0.002322454372
550	0.002318277642
551	0.002313290044
552	0.002310505546
553	0.002306858591
554	0.002305246877
555	0.002295608889
556	0.002285965806
557	0.002282411188
558	0.00228070667
559	0.00226973048
560	0.002263164619
561	0.002260304471
562	0.002257301047
563	0.002255524919
564	0.002249334512
565	0.002239606503
566	0.002236376771
567	0.002233817432
568	0.002229323708
569	0.002226960813
570	0.002224817249
571	0.002212306576
572	0.002204747541
573	0.002197170967
574	0.002195249071
575	0.00219273115
576	0.00219115088
577	0.002181492294
578	0.002178863388
579	0.002176080566
580	0.002175378846
581	0.002170029481
582	0.002165779504
583	0.002160654983
584	0.002155184381
585	0.00215186658
586	0.002148055861
587	0.002143510723
588	0.002140111639
589	0.0021366452
590	0.002134466453
591	0.002131141803
592	0.002128651994
593	0.002124184975
594	0.002121778409
595	0.002118905406
596	0.002116487815
597	0.002112246438
598	0.002104062433
599	0.002098324625
600	0.002097328615
601	0.002092298326
602	0.002090315323
603	0.002082919463
604	0.002077132374
605	0.002067634914
606	0.002064323427
607	0.002062768513
608	0.002060917654
609	0.002058351938
610	0.002054127284
611	0.002048837489
612	0.002046312403
613	0.00204247927
614	0.002038419931
615	0.002035744206
616	0.002029475992
617	0.00202541855
618	0.002013631732
619	0.002009095581
620	0.002005052652
621	0.002002713226
622	0.001998435121
623	0.001995114139
624	0.001985913023
625	0.001983008629
626	0.001973886968
627	0.001971124706
628	0.001969306276
629	0.001965715193
630	0.001960007388
631	0.001951656968
632	0.001949018013
633	0.001943420527
634	0.00193841721
635	0.001937655943
636	0.001936351569
637	0.001932188327
638	0.00192945252
639	0.001927391187
640	0.001921924181
641	0.001918999368
642	0.001912421407
643	0.001908822605
644	0.001906934411
645	0.001904563874
646	0.00190097783
647	0.001897693396
648	0.001896715749
649	0.001891064902
650	0.001888528521
651	0.001886858863
652	0.001882130929
653	0.001879276034
654	0.001872489102
655	0.001867461876
656	0.001864878076
657	0.001861658229
658	0.001856997332
659	0.001849829752
660	0.001847323103
661	0.001846480823
662	0.001842989133
663	0.001839053389
664	0.001837807309
665	0.001832737456
666	0.001828185792
667	0.001821558846
668	0.001817425327
669	0.001815160058
670	0.001813384628
671	0.001810317862
672	0.001804910218
673	0.001800260115
674	0.001799156693
675	0.001794656672
676	0.00179282627
677	0.001789757058
678	0.001787923517
679	0.001784926476
680	0.00177986966
681	0.001775748659
682	0.001772627999
683	0.001768734197
684	0.001765440387
685	0.001762472103
686	0.001756987623
687	0.001750762271
688	0.001743963269
689	0.001737577109
690	0.00173278539
691	0.001728683444
692	0.001723326945
693	0.001723006496
694	0.001718397807
695	0.001716562089
696	0.001713996468
697	0.001707679859
698	0.00170584901
699	0.001700975477
700	0.001692893194
701	0.001688295593
702	0.0016839932
703	0.001681979638
704	0.001677702147
705	0.001674511909
706	0.001671031807
707	0.001668315254
708	0.001666834732
709	0.001665077313
710	0.001663618257
711	0.001660875726
712	0.001657038892
713	0.00165421364
714	0.001648499453
715	0.001643797517
716	0.001641681191
717	0.001638034915
718	0.001635248322
719	0.001632460071
720	0.001630333574
721	0.001625942502
722	0.001623426538
723	0.001621717946
724	0.001620054247
725	0.001615904619
726	0.001612295893
727	0.00160898981
728	0.00160471558
729	0.001602734567
