iter	MultiClass
0	0.9274809923
1	0.7998931481
2	0.6976788496
3	0.6119291591
4	0.5399695129
5	0.4795226891
6	0.4286685984
7	0.385852776
8	0.347153797
9	0.3133992364
10	0.2837232577
11	0.2576296698
12	0.2362840281
13	0.2150462515
14	0.196952568
15	0.1805676325
16	0.1665015868
17	0.1540060722
18	0.142084211
19	0.1313439877
20	0.1211804688
21	0.1125706879
22	0.1048180241
23	0.09737825803
24	0.09078886751
25	0.08490065784
26	0.07975114073
27	0.07470669595
28	0.07017279237
29	0.06646473268
30	0.06286513956
31	0.05953025035
32	0.05657349137
33	0.05354691167
34	0.0511961144
35	0.04894861687
36	0.04747472718
37	0.0457887176
38	0.04392270269
39	0.04167460912
40	0.0401539456
41	0.03879529587
42	0.03729913747
43	0.03597326262
44	0.03452161781
45	0.03365923307
46	0.03266814191
47	0.03203459206
48	0.03099935729
49	0.03018666737
50	0.02970460804
51	0.02892351364
52	0.02843686142
53	0.02789897943
54	0.02748607018
55	0.02698111521
56	0.02653280605
57	0.02620405187
58	0.02570542881
59	0.02542041957
60	0.02490542583
61	0.02456206013
62	0.02412189962
63	0.02373794764
64	0.02319913732
65	0.02295326953
66	0.02251973676
67	0.02234157623
68	0.02181978997
69	0.02150585068
70	0.0213051236
71	0.02099484254
72	0.02082724322
73	0.0204193559
74	0.0201545359
75	0.01990062994
76	0.01977101235
77	0.01948381366
78	0.01922341603
79	0.01902038737
80	0.01877586602
81	0.01857464771
82	0.01827280092
83	0.01809471871
84	0.01789553887
85	0.01770114838
86	0.01755036692
87	0.01737759947
88	0.01725407182
89	0.01720229763
90	0.01711265153
91	0.01701322791
92	0.01682839691
93	0.0167008276
94	0.01647143698
95	0.01633277646
96	0.01617832817
97	0.01600071568
98	0.01583154863
99	0.01565924132
100	0.01552931662
101	0.01533453311
102	0.01509754472
103	0.01502675336
104	0.01489737311
105	0.01481279396
106	0.01468347625
107	0.01454151217
108	0.0144571586
109	0.01435043418
110	0.01427975649
111	0.01418756884
112	0.01410868791
113	0.01393476507
114	0.01381404762
115	0.01375235854
116	0.01371604663
117	0.01364286381
118	0.01353992546
119	0.01343860168
120	0.01332410668
121	0.01316781795
122	0.01305238637
123	0.01299390888
124	0.01292797006
125	0.01277626606
126	0.01274714254
127	0.0126045759
128	0.01251898468
129	0.0124307207
130	0.01236134678
131	0.01229190178
132	0.0122321433
133	0.0121453139
134	0.01209481088
135	0.01201710388
136	0.01191974821
137	0.01188439293
138	0.01178446592
139	0.0117534727
140	0.01168361639
141	0.01155066527
142	0.01149322441
143	0.01136466132
144	0.01125990925
145	0.01115333212
146	0.01105803541
147	0.01096756948
148	0.01091998129
149	0.01088725312
150	0.01081946297
151	0.01078178936
152	0.01073913678
153	0.01066601342
154	0.01060971322
155	0.01053439323
156	0.01043569125
157	0.01033669133
158	0.01030160833
159	0.01025540233
160	0.01019443755
161	0.01008580553
162	0.0100317645
163	0.009991992721
164	0.009934347164
165	0.009839371927
166	0.009788391666
167	0.009739804613
168	0.009624050126
169	0.009597239448
170	0.009551989513
171	0.009503000322
172	0.009406079615
173	0.009380121927
174	0.009354585301
175	0.009284271587
176	0.009274724651
177	0.00919262496
178	0.009150594908
179	0.009103381463
180	0.009055850955
181	0.008989795464
182	0.00892390946
183	0.008894927999
184	0.00885079442
185	0.008789825549
186	0.008728175785
187	0.008639036514
188	0.008605759176
189	0.008584954496
190	0.008545439669
191	0.008523910332
192	0.008491136898
193	0.008418712926
194	0.008371007175
195	0.008322806936
196	0.00825375252
197	0.00816846305
198	0.008119747996
199	0.008096514981
200	0.008070526224
201	0.008051311246
202	0.008035415689
203	0.008008899018
204	0.007969662031
205	0.007961006104
206	0.007931706933
207	0.007918596687
208	0.007899614283
209	0.007857445807
210	0.0078360763
211	0.007770048666
212	0.007701377356
213	0.007671336441
214	0.007604221742
215	0.00757910059
216	0.007545340237
217	0.007534699372
218	0.007514292746
219	0.007451536903
220	0.007431821782
221	0.007398013427
222	0.007351909624
223	0.00731905207
224	0.007257419931
225	0.00719925176
226	0.007181238281
227	0.007135538948
228	0.007082890601
229	0.007030004893
230	0.00700645204
231	0.006970989051
232	0.006947446414
233	0.006938782417
234	0.006924504114
235	0.006904579187
236	0.006859712909
237	0.00682496391
238	0.006802673734
239	0.006792496509
240	0.006761740278
241	0.006727750955
242	0.006709206927
243	0.006651142897
244	0.006621037614
245	0.006574539541
246	0.006527053597
247	0.006489858273
248	0.006480572889
249	0.006437642526
250	0.006386404704
251	0.006347573711
252	0.006324625591
253	0.006296315123
254	0.006278367622
255	0.006247819209
256	0.006185431129
257	0.006174802131
258	0.006144922792
259	0.006139175002
260	0.006121183663
261	0.006106866237
262	0.006064414592
263	0.00603748885
264	0.005997844933
265	0.005978174005
266	0.005940504704
267	0.005889145129
268	0.005842594461
269	0.005833386967
270	0.005810656956
271	0.005784077968
272	0.005726383053
273	0.0057181618
274	0.005685883632
275	0.005646668542
276	0.005626547473
277	0.005597678212
278	0.005592190875
279	0.005552247473
280	0.005523462513
281	0.005497136209
282	0.005465173184
283	0.005459559252
284	0.005431066408
285	0.00541377638
286	0.005390637951
287	0.005367938089
288	0.005361550705
289	0.005349026585
290	0.005329963815
291	0.005288616966
292	0.005255748384
293	0.005209859765
294	0.005193990019
295	0.005169645128
296	0.005161402451
297	0.005143570322
298	0.005127975135
299	0.005109250488
300	0.005080181229
301	0.005071288765
302	0.005063991626
303	0.005030011899
304	0.005009593185
305	0.004984982998
306	0.004969985217
307	0.004955729589
308	0.004939001933
309	0.004913645131
310	0.004906235043
311	0.004891916552
312	0.004875255526
313	0.004858988979
314	0.004837026616
315	0.004821829457
316	0.004796392317
317	0.004775809965
318	0.004755328525
319	0.004746791388
320	0.004731575025
321	0.004719347383
322	0.004712759525
323	0.004688841971
324	0.004656973776
325	0.004632992973
326	0.004598303808
327	0.004562995589
328	0.004550304411
329	0.004536215413
330	0.004516839678
331	0.004506416234
332	0.004493086903
333	0.004455649176
334	0.004439543468
335	0.004408662577
336	0.004390337111
337	0.004384351933
338	0.004362675047
339	0.004344036447
340	0.004337347583
341	0.004318802442
342	0.004299148643
343	0.004294880574
344	0.004276717901
345	0.004253437174
346	0.004227765465
347	0.004207353978
348	0.004193884004
349	0.004182886178
350	0.004163405123
351	0.004158371671
352	0.004139836038
353	0.004126468921
354	0.004107230831
355	0.004086996976
356	0.004071494342
357	0.004052046817
358	0.004041578049
359	0.004018870054
360	0.004012208586
361	0.004007368254
362	0.004000205774
363	0.003990280614
364	0.003973247718
365	0.003956250832
366	0.003948847207
367	0.003938841847
368	0.003922865731
369	0.003913445152
370	0.003896142029
371	0.003883249675
372	0.003870670848
373	0.003863299372
374	0.003851007711
375	0.003833990978
376	0.003829344231
377	0.003806584914
378	0.003778948725
379	0.003757627415
380	0.00374775466
381	0.003732860894
382	0.003725906386
383	0.003702067196
384	0.003696139867
385	0.003688956857
386	0.003684623619
387	0.003678086774
388	0.003673798932
389	0.003663367134
390	0.003651614069
391	0.003638043418
392	0.003622244046
393	0.003615176667
394	0.003606975197
395	0.003596775935
396	0.00358394115
397	0.003575710501
398	0.003568099142
399	0.003561329155
400	0.003543723959
401	0.003523652595
402	0.003508327886
403	0.00350075274
404	0.003488168048
405	0.003484617509
406	0.003472638588
407	0.003463218799
408	0.003448220658
409	0.003437550756
410	0.003432614188
411	0.003417719789
412	0.003410243667
413	0.003396300218
414	0.003384784162
415	0.003374465558
416	0.003365603242
417	0.003352401598
418	0.003332987738
419	0.003320288449
420	0.003315840445
421	0.003307559545
422	0.003302495089
423	0.00329830267
424	0.003285826452
