iter	Passed	Remaining
399	41871	62807
400	41954	62670
401	42036	62531
402	42117	62392
403	42200	62256
404	42281	62116
405	42361	61976
406	42440	61836
407	42523	61700
408	42608	61568
409	42689	61430
410	42767	61289
411	42846	61150
412	42930	61017
413	43012	60882
414	43091	60743
415	43172	60607
416	43254	60473
417	43335	60338
418	43420	60208
419	43499	60070
420	43580	59935
421	43662	59803
422	43743	59669
423	43821	59531
424	43902	59397
425	43984	59265
426	44065	59132
427	44145	58997
428	44224	58862
429	44308	58733
430	44390	58603
431	44468	58467
432	44551	58338
433	44637	58213
434	44716	58079
435	44795	57945
436	44873	57811
437	44952	57679
438	45035	57550
439	45113	57417
440	45199	57293
441	45281	57165
442	45366	57040
443	45453	56919
444	45538	56795
445	45629	56678
446	45728	56572
447	45839	56480
448	45929	56362
449	46016	56241
450	46102	56120
451	46186	55995
452	46267	55868
453	46348	55740
454	46428	55611
455	46556	55541
456	46652	55431
457	46738	55311
458	46830	55196
459	46921	55081
460	47003	54956
461	47086	54832
462	47170	54709
463	47254	54587
464	47335	54461
465	47424	54345
466	47512	54227
467	47600	54110
468	47681	53984
469	47764	53862
470	47851	53743
471	47935	53622
472	48024	53507
473	48109	53387
474	48193	53266
475	48282	53151
476	48369	53033
477	48454	52914
478	48539	52795
479	48627	52679
480	48718	52567
481	48803	52448
482	48885	52326
483	48980	52218
484	49092	52128
485	49181	52014
486	49266	51896
487	49354	51782
488	49444	51669
489	49534	51556
490	49634	51454
491	49723	51340
492	49815	51230
493	49911	51124
494	49998	51008
495	50085	50892
496	50171	50777
497	50271	50675
498	50379	50581
499	50466	50466
500	50556	50354
501	50643	50240
502	50733	50128
503	50819	50012
504	50906	49898
505	50990	49781
506	51074	49663
507	51157	49546
508	51241	49429
509	51326	49313
510	51413	49200
511	51500	49086
512	51597	48982
513	51682	48867
514	51774	48758
515	51865	48648
516	51946	48530
517	52029	48413
518	52114	48298
519	52199	48183
520	52286	48071
521	52367	47953
522	52449	47835
523	52531	47719
524	52616	47605
525	52697	47487
526	52781	47373
527	52866	47259
528	52952	47146
529	53034	47030
530	53114	46913
531	53208	46807
532	53289	46690
533	53366	46570
534	53449	46455
535	53533	46342
536	53620	46231
537	53699	46113
538	53779	45996
539	53860	45881
540	53942	45766
541	54019	45647
542	54105	45536
543	54192	45425
544	54273	45310
545	54357	45198
546	54441	45085
547	54523	44972
548	54612	44863
549	54698	44753
550	54782	44641
551	54861	44525
552	54941	44409
553	55028	44301
554	55112	44189
555	55193	44075
556	55280	43965
557	55364	43854
558	55448	43743
559	55532	43632
560	55623	43527
561	55759	43456
562	55856	43355
563	55951	43253
564	56048	43152
565	56144	43050
566	56239	42948
